name,type,status,latitude,longitude,address,country,zip,timeZone
"DFB1","Delivery Station","Idle","30.59846","-88.14964","Cypress Business Park Dr and Higgins Rd, Mobile, AL","United States","36619","America/Chicago (UTC:-05:00)"
"DFE2","Delivery Station","Active","1.30336","103.73878","2 Tanjong Penjuru Crescent, #03-01/02, Singapore","Singapore","608968","Asia/Singapore (UTC:+08:00)"
"DFH1","Delivery Station","Active","26.20598","-80.16201","6499 NW 12 Ave, Fort Lauderdale, FL","United States","33309","America/New_York (UTC:-04:00)"
"DFH3","Delivery Station","Active","28.12421","-80.68579","3700 Sarno Road, Melbourne, FL","United States","32901","America/New_York (UTC:-04:00)"
"DFH4","Delivery Station","Active","25.90325","-80.37869","10910 NW 144th St, Hialeah Gardens, FL","United States","33018","America/New_York (UTC:-04:00)"
"DFH7","Delivery Station","Active","27.21963","-80.4087","13450 SW Anthony F Sansone Sr. Blvd, St Lucie, FL","United States","34953","America/New_York (UTC:-04:00)"
"DFK1","Delivery Station","Active","33.60298","130.43638","8-4-48, 8-5-75 Yoshizuka, Hakata-ku, Fukuoka, Fukuoka","Japan","812-0041","Asia/Tokyo (UTC:+09:00)"
"DFK2","Delivery Station","Active","33.47391","130.50813","329-22 OazaKoga, Chikushino-shi, Fukuoka","Japan","818-0047","Asia/Tokyo (UTC:+09:00)"
"DFK3","Delivery Station","Active","33.90043","130.85599","15-76 Nishiminatomachi Kokurakita Ward, Kitakyushu, Fukuoka","Japan","803-0801","Asia/Tokyo (UTC:+09:00)"
"DFK4","Delivery Station","Active","32.76772","130.70604","1-66  Ryutsudanchi, Minami-ku, Kumamoto, Kumamoto","Japan","862-0967","Asia/Tokyo (UTC:+09:00)"
"DFK5","Delivery Station","Active","32.72593","129.82965","1-331-25 Kaminoshimamachi, Nagasaki-shi, Nagasaki","Japan","1007-2","Asia/Tokyo (UTC:+09:00)"
"DFK6","Delivery Station","Active","33.63117","130.47455","840-2 Etsuji, Kasuya, Fukuoka","Japan","811-2313","Asia/Tokyo (UTC:+09:00)"
"DFL3","Delivery Station","Active","29.71506","-82.35207","2121 North 67th Place, Gainesville, FL","United States","32606","America/New_York (UTC:-04:00)"
"DFL4","Delivery Station","Active","28.58397","-81.4398","4401 Seaboard Rd, Orlando, FL","United States","32808","America/New_York (UTC:-04:00)"
"DFL5","Delivery Station","Active","28.68885","-81.56477","2050 Shelby Industrial Drive, Apopka, FL","United States","32703","America/New_York (UTC:-04:00)"
"DFL7","Delivery Station","Active","28.15036","-81.88669","8100 FL-33, Lakeland, FL","United States","33809","America/New_York (UTC:-04:00)"
"DFL8","Delivery Station","Active","28.6334","-81.83399","19961 Independence Boulevard, Groveland, FL","United States","34736","America/New_York (UTC:-04:00)"
"DFM3","Delivery Station","Active","27.11274","-82.37529","770 Commerce Drive, Venice, FL","United States","34292","America/New_York (UTC:-04:00)"
"DFM4","Delivery Station","Active","26.15332","-81.68847","8760 Davis Boulevard, Naples, FL","United States","34111","America/New_York (UTC:-04:00)"
"DFM5","Delivery Station","Active","27.40097","-82.53643","1900 and 2200 Tallevast Road, Sarasota, FL","United States","34243","America/New_York (UTC:-04:00)"
"DFO2","Delivery Station","Active","38.01072","-121.74845","4000 Wilbur Ave, Oakley, CA","United States","94561","America/Los_Angeles (UTC:-07:00)"
"DFO3","Delivery Station","Active","37.70518","-121.70626","400 Longfellow Court, Livermore, CA","United States","94550","America/Los_Angeles (UTC:-07:00)"
